"92.10 Gemeentecode","92.11 Omschrijving","92.12 Nieuwe code","99.98 Datum ingang","99.99 Datum einde"
"0462","Wieringen","1911","","20120101",""
"0463","Wieringermeer","1911","19380101","20120101",""
"0464","Wieringerwaard","0369","","19700801",""
"0296","Wijchen","","","",""
"1696","Wijdemeren","","20020101","",""
"0469","Wijdenes","0454","","19700801",""
"0470","Wijdewormer","0880","","19910101",""
"0190","Wijhe","0174","","20010101",""
"1229","Wijk aan Zee en Duin","0375","","19360501",""
"0352","Wijk bij Duurstede","","","",""
"0876","Wijk en Aalburg","0738","","19730101",""
"0991","Wijlre","0913","","19820101",""
"0992","Wijnandsrade","0951","","19820101",""
"0634","Wijngaarden","0693","","19860101",""
"1225","Wildervank","0047","","19690101",""
"0872","Willemstad","0878","","19970101",""
"0349","Willeskop","0335","","19890101",""
"1226","Willige-Langerak","0331","","19430101",""
"0350","Wilnis","0736","","19890101",""
"1227","Wilsum","0191","","19370101",""
"1397","Wimmenum","0387","","18570713",""
"0465","Winkel","0412","","19700801",""
"0052","Winschoten","1895","","20100101",""
"0053","Winsum","","","",""
"0294","Winterswijk","","","",""
"0295","Wisch","1509","","20050101",""
"1253","Wissekerke","0670","","19580801",""
"0727","Wissenkerke","1695","","19950101",""
"0990","Wittem","1729","","19990101",""
"0873","Woensdrecht","","","",""
"1228","Woensel","0772","","19200101",""
"0632","Woerden","","","",""
"0466","Wognum","0420","","20070101",""
"0728","Wolphaartsdijk","0664","","19700101",""
"0099","Wonseradeel","0710","","19870101",""
"0100","Workum","0104","","19840101",""
"0467","Wormer","0880","","19910101",""
"0880","Wormerland","","19910101","",""
"0468","Wormerveer","0479","","19740101",""
"0633","Woubrugge","0645","","19910101",""
"0351","Woudenberg","","","",""
"0874","Woudrichem","","","",""
"0875","Wouw","1674","","19970101",""
"1398","Wulverhorst","0328","","18570908",""
"0710","Wûnseradiel","1900","19870101","20110101",""
"0101","Wymbritseradeel","0683","","19860101",""
"0683","Wymbritseradiel","1900","19860101","20110101",""
"0729","Yerseke","0703","","19700101",""
"0731","Zaamslag","0715","","19700401",""
"0471","Zaandam","0479","","19740101",""
"0472","Zaandijk","0479","","19740101",""
"0479","Zaanstad","","19740101","",""
"1232","Zalk en Veecaten","0191","","19370101",""
"0297","Zaltbommel","","","",""
"0473","Zandvoort","","","",""
"0707","Zederik","","19860101","",""
"0877","Zeeland","1685","","19940101",""
"1233","Zeelst","0861","","19210501",""
"0478","Zeevang","0385","19700801","20160101",""
"0050","Zeewolde","","19840101","",""
"0354","Zegveld","0632","","19890101",""
"1234","Zegwaart","0637","","19350501",""
"0355","Zeist","","","",""
"0298","Zelhem","1876","","20050101",""
"1235","Zesgehuchten","0781","","19210501",""
"0299","Zevenaar","","","",""
"0878","Zevenbergen","1709","","19980401",""
"1399","Zevender","1226","","18570908",""
"0635","Zevenhoven","0573","","19910101",""
"0636","Zevenhuizen","0647","","19910101",""
"1666","Zevenhuizen-Moerkapelle","1892","19920201","20100101",""
"0732","Zierikzee","1676","","19970101",""
"0476","Zijpe","0441","","20130101",""
"0300","Zoelen","0214","","19780101",""
"0637","Zoetermeer","","","",""
"0638","Zoeterwoude","","","",""
"1236","Zonnemaire","0656","","19610101",""
"1237","Zoutelande","0720","","19660701",""
"1400","Zouteveen","1210","","18550901",""
"0474","Zuid- en Noord-Schermer","0458","","19700801",""
"0639","Zuid-Beijerland","0588","","19840101",""
"1240","Zuidbroek","0033","","19650701",""
"1402","Zuidbroek (ZH)","0491","","18570613",""
"0734","Zuiddorpe","0650","","19700401",""
"0996","Zuidelijke IJsselmeerpolders","0034","19551130","19960101",""
"0056","Zuidhorn","","","",""
"0640","Zuidland","0568","","19800101",""
"0136","Zuidlaren","1730","","19991201",""
"1892","Zuidplas","","20100101","",""
"1401","Zuid-Polsbroek","0338","","18570908",""
"1241","Zuidschalkwijk","0393","","18630922",""
"1238","Zuid-Scharwoude","0416","","19410801",""
"1239","Zuid-Waddinxveen","0627","","18700701",""
"1403","Zuidwijk","0499","","18460101",""
"0137","Zuidwolde","1690","","19980101",""
"0735","Zuidzande","0692","","19700401",""
"1242","Zuilen","0344","","19540101",""
"1243","Zuilichem","0212","","19550701",""
"0879","Zundert","","","",""
"0301","Zutphen","","","",""
"0475","Zwaag","0405","","19790101",""
"1244","Zwammerdam","0484","","19640201",""
"0641","Zwartewaal","0501","","19800101",""
"1896","Zwartewaterland","","20010101","",""
"0192","Zwartsluis","1896","","20010101",""
"0138","Zweeloo","0109","","19980101",""
"0642","Zwijndrecht","","","",""
"0193","Zwolle","","","",""
"1245","Zwollerkerspel","0193","","19670801",""
